Date,rfr,t,n,Underlying,f(0)_30,f(0)_60,f(1)_30,f(1)_60,f(x)_30,f(x)_60,implied_vola,K,d1,d2,N_d1,N_d2,Call_price
2009-06-10,0.001724,46,275,31.2,0.9431512999999999,0.9205831000000001,0.8763088,0.84747,0.9297827999999999,0.9059604800000001,0.9170775626666666,28.0,0.4946832573244574,0.1668645499166672,0.6895881391329199,0.5662616864562591,5.663315087909252
2009-06-11,0.001704,45,276,30.6,0.9174181,0.9085781,0.8582163,0.8320681000000001,0.90557774,0.8932761,0.89942692,28.0,0.4389026743820088,0.12090723722514365,0.669633970587975,0.5481177451239583,5.146771262632086
2009-06-12,0.001653,44,277,29.95,0.9310881000000001,0.9228663,0.8613263000000001,0.8340181,0.9171357400000001,0.90509666,0.9115175026666668,28.0,0.37123724805340186,0.052568040700481926,0.6447695838782477,0.5209619592131098,4.726860928578088
2009-06-15,0.0015010000000000002,43,278,31.35,0.9489519,0.9185631,0.8692388,0.83343,0.9330092799999999,0.90153648,0.9193710666666666,28.0,0.5151007736939918,0.19735937026266384,0.6967586989497482,0.5782268389541753,5.655936166322185
2009-06-16,0.001633,42,279,32.4,0.9844630999999999,0.9288119,0.8903418999999999,0.8531481,0.9656388599999999,0.9136791400000001,0.9448549719999999,28.0,0.6142035972523432,0.2914741846171387,0.7304596017138212,0.6146556575709539,6.459811231338975
2009-06-17,0.001603,60,280,32.1,1.010725,0.9355863,0.9345619000000001,0.8684938,0.9954923800000001,0.9221678,0.9221678,26.0,0.7487720483270959,0.3722986204562742,0.7730026951722444,0.6451647371807647,8.043584279044218
2009-06-18,0.001724,59,281,31.85,0.9781131000000001,0.9330463,0.9134331,0.8628369,0.9651771,0.91900442,0.9205435093333334,26.0,0.7316567025507809,0.3589913000411181,0.7678109351226844,0.6401992011813269,7.814301391520317
2009-06-19,0.001684,58,282,31.55,1.041856,0.9389488,0.9430488,0.8600319000000001,1.02209456,0.92316542,0.929760696,26.0,0.7057601396806066,0.33256676112968153,0.7598313428830676,0.630269331390483,7.590121624629006
2009-06-22,0.0018260000000000001,57,283,32.55,1.0714839999999999,0.9591238,0.9757669,0.8899538,1.0523405799999999,0.9452898,0.9559948779999999,26.0,0.7816025064043949,0.4012014249951094,0.7827758932750049,0.6558640841586179,8.431818577534195
2009-06-23,0.0019270000000000001,56,284,32.15,1.1029179999999998,0.9502413,0.9970230999999999,0.8769899999999999,1.0817390199999999,0.9355910399999999,0.9550774373333333,26.0,0.7527787860122525,0.37609116479209753,0.7742085716582022,0.6465754387749124,8.084882594554298
2009-06-24,0.001806,55,285,31.35,1.07143,0.9449363,0.9521569,0.8628069,1.04757538,0.92851042,0.94835458,26.0,0.6908789688157673,0.3201975298213733,0.7551791981189617,0.625590702188765,7.413996868469965
2009-06-25,0.001653,54,286,30.25,1.097073,0.9800131000000001,0.965025,0.88018,1.0706634,0.96004648,0.9821698640000001,26.0,0.5888569591058511,0.2084642064639707,0.7220213837044577,0.582566736107548,6.698166885675141
2009-06-26,0.001724,53,287,29.85,1.038976,0.9942288,0.9046113,0.8803269,1.0121030599999998,0.97144842,0.9809345026666666,26.0,0.5557496167318896,0.1793694807963765,0.7108089836899769,0.5711762032338976,6.370835643303479
2009-06-29,0.0017549999999999998,52,288,28.95,1.11018,0.9972381,0.9595838000000001,0.8841869,1.08006076,0.97462786,1.0027433000000001,26.0,0.4732240111095054,0.09212292166190121,0.6819733155064363,0.5366998114823833,5.792469325500742
2009-06-30,0.0017749999999999999,51,289,29.25,1.091048,1.009296,0.9387519000000001,0.8909050000000001,1.06058878,0.9856178,1.008109094,26.0,0.5007960031611377,0.12135752470587365,0.6917426505958575,0.5482960707353115,5.981358954164531
2009-07-01,0.001623,50,290,29.2,1.121493,0.9999969,0.9490488,0.8893138,1.08700416,0.97786028,1.0142415733333334,26.0,0.4966701235250033,0.11868460626172472,0.6902891529202101,0.5472373836189134,5.931478196818977
2009-07-02,0.001562,49,291,30.65,1.111171,0.9914981,0.9738912999999999,0.8929969,1.0837150599999998,0.97179786,1.0128341666666667,26.0,0.6277304622209565,0.2540631287053431,0.7349097368451099,0.6002766060196092,6.9211095007605365
2009-07-06,0.0015210000000000002,48,292,30.4,1.1544370000000002,1.012062,0.9900763,0.9048013,1.12156486,0.9906098600000001,1.04299186,26.0,0.6014781205543407,0.22063134121016048,0.7262392098572203,0.5873102521995751,6.810701877977143
2009-07-07,0.001806,47,293,31.45,1.168501,1.016875,1.02025,0.90415,1.1388508,0.9943299999999999,1.05695568,26.0,0.6898683799877459,0.30796416153558404,0.754861518947932,0.6209451986027962,7.599625780253387
2009-07-08,0.0017549999999999998,46,294,31.8,1.186554,1.020991,1.044348,0.92399,1.1581128,1.0015908,1.0746344,26.0,0.7168639129682405,0.3327249106797367,0.7632709646566321,0.6303290280428453,7.887136668321396
2009-07-09,0.0017549999999999998,45,295,31.75,1.118094,1.010415,0.9654181,0.9097512999999999,1.08755882,0.9902822600000001,1.03892054,26.0,0.7281927536399386,0.3608788741659438,0.7667521994645485,0.6409050015657412,7.684507453252703
2009-07-10,0.001674,44,296,31.95,1.126334,0.9823069,0.9778131000000001,0.8848469,1.09662982,0.9628149,1.0341828573333334,26.0,0.7513155241819904,0.38976214704962714,0.7737686057162096,0.6516437816373732,7.782634759724839
2009-07-13,0.0017549999999999998,43,297,30.8,1.058932,0.9624838,0.9252563,0.8709918999999999,1.03219686,0.9441854199999999,0.9940585693333333,26.0,0.6655211911616602,0.32196723741576816,0.7471414029147092,0.6262612426275117,6.732575824065922
2009-07-14,0.0017549999999999998,42,298,30.25,1.0933190000000002,0.9720381,0.9330088000000001,0.8731363000000001,1.0612569600000001,0.9522577400000001,1.0176572720000001,26.0,0.6099490540979936,0.2623529220045017,0.7290522219241617,0.6034753177268032,6.366683724295362
2009-07-15,0.0017549999999999998,60,299,30.65,1.1042100000000001,0.9636981,0.9470238000000001,0.8619588,1.07277276,0.94335024,0.94335024,25.0,0.7223921531712091,0.33727103038253414,0.7649732950592951,0.632043701980475,7.64996008775104
2009-07-16,0.001653,59,300,30.15,1.088029,0.9559738,0.9251731,0.845625,1.05545782,0.9339040399999999,0.9379558326666666,25.0,0.6838600249835679,0.3041455580702635,0.7529682206160215,0.6194915002485857,7.21889941233961
2009-07-17,0.001623,58,301,30.25,1.118613,0.9805238,0.9425749999999999,0.864535,1.0834054,0.95732604,0.9657313306666666,25.0,0.686246941453541,0.298615436256021,0.7537212993896466,0.6173832569318273,7.369523241427846
2009-07-20,0.001633,57,302,29.45,1.114411,0.9741563,0.9538737999999999,0.8629062999999999,1.08230356,0.9519063,0.964946026,25.0,0.6193056962850503,0.2353428527184422,0.7321425037029109,0.5930286813443391,6.739712517604167
2009-07-21,0.0018160000000000001,56,303,29.35,1.105725,0.9596688,0.9464087999999999,0.8515563,1.07386176,0.9380463,0.956155028,25.0,0.614686860140078,0.23757423142942152,0.7306192304592202,0.5938943306600488,6.600509768862919
2009-07-22,0.001806,55,304,29.2,1.008764,0.96199,0.8509099999999999,0.8425088,0.9771932,0.93809376,0.9446103333333333,25.0,0.6059557841939313,0.23673785133070382,0.7277279426120495,0.5935699158033697,6.414501860198579
2009-07-23,0.001806,54,305,28.45,0.95085,0.9598719,0.8119369000000001,0.8302738,0.92306738,0.93395228,0.9317753,25.0,0.539407314447643,0.17853229251690111,0.7051970824410217,0.5708475186039637,5.795534571556525
2009-07-24,0.0017749999999999999,53,306,28.55,0.9810450000000001,0.9364563,0.8207463,0.80758,0.94898526,0.91068104,0.9196186913333334,25.0,0.5534739478158169,0.2006204116093362,0.7100305424420837,0.5795023017996054,5.787599827601362
2009-07-27,0.0018559999999999998,52,307,28.95,0.9857119,0.9276918999999999,0.8257669,0.8138463,0.9537228999999999,0.9049227799999999,0.9179361453333332,25.0,0.5956882269164726,0.24681881534337352,0.7243082377009977,0.5974757758167114,6.0358329647263425
2009-07-28,0.0018260000000000001,51,308,29.85,1.027418,0.9276813,0.8730450000000001,0.8232980999999999,0.9965434,0.90680466,0.9337262820000001,25.0,0.6809758145327686,0.32953400943010486,0.7520566029825799,0.6291239538574386,6.724858823436891
2009-07-29,0.0017749999999999999,50,309,30.05,1.033123,0.9251769,0.8857563,0.8136718999999999,1.00364966,0.9028759,0.9364671533333333,25.0,0.7023885837278457,0.35338788146967043,0.7587815685508171,0.6381011651522055,6.852789262977792
